epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,16373.5,0.19197,0.19986,0.85862,0.86704,0.9385,0.93364,0.92721,0.19101,0.40487,0.7414,0.000206458,0.000206458,0.000206458
179,16465.4,0.18854,0.17926,0.85478,0.87568,0.9265,0.94123,0.93327,0.18628,0.40554,0.73943,0.000198206,0.000198206,0.000198206
180,16557.3,0.18889,0.20388,0.84827,0.8957,0.89883,0.93888,0.93543,0.18782,0.39465,0.74043,0.000189955,0.000189955,0.000189955
181,16649.3,0.18667,0.19559,0.84734,0.91245,0.92403,0.95126,0.95062,0.19315,0.35638,0.74146,0.000181703,0.000181703,0.000181703
182,16741.3,0.18431,0.17334,0.84178,0.90546,0.90815,0.9429,0.93846,0.19217,0.38516,0.74173,0.000173451,0.000173451,0.000173451
183,16833.3,0.1821,0.16966,0.84868,0.90762,0.90461,0.9368,0.93423,0.19778,0.4146,0.74548,0.0001652,0.0001652,0.0001652
184,16925.1,0.18071,0.16919,0.84247,0.87852,0.90791,0.93125,0.92809,0.19452,0.40524,0.74219,0.000156948,0.000156948,0.000156948
185,17017,0.18054,0.17535,0.84155,0.89993,0.88796,0.94128,0.93559,0.1965,0.39343,0.74256,0.000148696,0.000148696,0.000148696
186,17108.7,0.17947,0.16949,0.8444,0.90733,0.92546,0.95433,0.95132,0.19541,0.37024,0.74204,0.000140445,0.000140445,0.000140445
187,17200.7,0.18085,0.16933,0.84664,0.89971,0.93544,0.95194,0.94781,0.1923,0.34302,0.74197,0.000132193,0.000132193,0.000132193
188,17292.7,0.1761,0.16083,0.84345,0.88194,0.93857,0.94707,0.94452,0.18924,0.35138,0.73891,0.000123941,0.000123941,0.000123941
189,17384.5,0.17776,0.15491,0.84236,0.89953,0.9374,0.95981,0.95765,0.19219,0.3183,0.74024,0.00011569,0.00011569,0.00011569
190,17476.5,0.17493,0.14848,0.8413,0.89231,0.91798,0.95656,0.95338,0.19395,0.34501,0.74044,0.000107438,0.000107438,0.000107438
191,17568.2,0.17603,0.16621,0.84046,0.87392,0.9384,0.95605,0.95321,0.19437,0.3426,0.74072,9.91865e-05,9.91865e-05,9.91865e-05
192,17660,0.17294,0.15358,0.8375,0.88175,0.94508,0.95738,0.95401,0.1948,0.33241,0.74118,9.09349e-05,9.09349e-05,9.09349e-05
193,17751.8,0.17287,0.15813,0.83882,0.90729,0.92384,0.94578,0.94138,0.19145,0.34473,0.73926,8.26832e-05,8.26832e-05,8.26832e-05
194,17843.5,0.17557,0.16088,0.8547,0.91648,0.92455,0.94751,0.93982,0.19072,0.34232,0.74029,7.44316e-05,7.44316e-05,7.44316e-05
195,17935.4,0.17092,0.14842,0.84514,0.91402,0.91723,0.95017,0.94732,0.1908,0.34806,0.73932,6.61799e-05,6.61799e-05,6.61799e-05
196,18027.2,0.16822,0.15834,0.84235,0.91109,0.91931,0.94739,0.94299,0.18932,0.34645,0.7389,5.79283e-05,5.79283e-05,5.79283e-05
197,18118.9,0.16857,0.15143,0.84005,0.8916,0.92439,0.95064,0.94779,0.18891,0.34725,0.73969,4.96766e-05,4.96766e-05,4.96766e-05
198,18210.6,0.16627,0.1461,0.83676,0.90523,0.92893,0.95337,0.9486,0.18753,0.34196,0.73844,4.1425e-05,4.1425e-05,4.1425e-05
199,18302.4,0.16817,0.14079,0.83717,0.89831,0.92893,0.95079,0.9483,0.18778,0.34329,0.73877,3.31733e-05,3.31733e-05,3.31733e-05
200,18394.1,0.16747,0.13403,0.84323,0.90561,0.92826,0.94977,0.94529,0.1881,0.34117,0.73888,2.49217e-05,2.49217e-05,2.49217e-05
