epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3869.25,0.49096,0.86841,1.03199,0.55607,0.97698,0.70664,0.67726,0.28778,0.75465,0.80994,0.00132868,0.00132868,0.00132868
43,3961.13,0.4921,0.86976,1.03536,0.58962,0.82149,0.69214,0.66494,0.28003,0.76186,0.80461,0.00132043,0.00132043,0.00132043
44,4052.89,0.48936,0.87221,1.03029,0.5418,0.96028,0.72318,0.70508,0.27294,0.77919,0.8095,0.00131218,0.00131218,0.00131218
45,4144.76,0.48906,0.85046,1.02911,0.65634,0.81187,0.76681,0.74306,0.28503,0.7042,0.8005,0.00130393,0.00130393,0.00130393
46,4236.86,0.48482,0.85898,1.03853,0.5809,0.91555,0.71119,0.67702,0.29336,0.74373,0.81342,0.00129568,0.00129568,0.00129568
47,4328.74,0.49404,0.85762,1.04363,0.52514,0.91681,0.69046,0.66361,0.2668,0.77926,0.79349,0.00128742,0.00128742,0.00128742
48,4420.52,0.47924,0.86243,1.03086,0.5359,1,0.75005,0.72863,0.26605,0.78391,0.80236,0.00127917,0.00127917,0.00127917
49,4512.41,0.48138,0.85392,1.03295,0.52286,0.96028,0.6919,0.66153,0.3187,0.78903,0.84208,0.00127092,0.00127092,0.00127092
50,4604.24,0.49459,0.85143,1.04016,0.57931,0.95683,0.76651,0.73994,0.26882,0.76428,0.80197,0.00126267,0.00126267,0.00126267
51,4696.18,0.48288,0.85261,1.0371,0.57287,0.95741,0.73629,0.70453,0.27871,0.75508,0.79564,0.00125442,0.00125442,0.00125442
52,4788.83,0.47965,0.84181,1.02528,0.66713,0.80477,0.77036,0.75461,0.26238,0.70037,0.78983,0.00124617,0.00124617,0.00124617
53,4880.84,0.48836,0.85982,1.03905,0.57676,0.83566,0.70442,0.68169,0.26932,0.80963,0.80125,0.00123791,0.00123791,0.00123791
54,4972.62,0.46542,0.82058,1.03086,0.69005,0.85637,0.80224,0.78377,0.26451,0.72884,0.79774,0.00122966,0.00122966,0.00122966
55,5064.51,0.47204,0.82725,1.02681,0.6658,0.88384,0.81207,0.78586,0.29121,0.68473,0.81339,0.00122141,0.00122141,0.00122141
56,5156.4,0.4769,0.82674,1.02031,0.70059,0.83093,0.81879,0.79603,0.2849,0.7084,0.8192,0.00121316,0.00121316,0.00121316
57,5248.31,0.47417,0.82059,1.02205,0.62951,0.86621,0.79203,0.7714,0.24594,0.6875,0.78419,0.00120491,0.00120491,0.00120491
58,5340.03,0.45549,0.81928,1.01652,0.54543,0.99529,0.73164,0.71716,0.25258,0.76124,0.78039,0.00119666,0.00119666,0.00119666
59,5431.79,0.47359,0.79977,1.02643,0.57886,0.93106,0.75865,0.7458,0.24913,0.75893,0.79264,0.0011884,0.0011884,0.0011884
60,5523.57,0.46182,0.81969,1.02174,0.57772,0.93964,0.74394,0.72924,0.24606,0.78603,0.78067,0.00118015,0.00118015,0.00118015
61,5615.47,0.45301,0.79726,1.01951,0.69985,0.81226,0.79913,0.77578,0.26536,0.71116,0.79973,0.0011719,0.0011719,0.0011719
62,5707.28,0.46163,0.80053,1.02193,0.63489,0.89702,0.81677,0.79945,0.27615,0.69672,0.79773,0.00116365,0.00116365,0.00116365
63,5799.22,0.46583,0.79246,1.02908,0.76341,0.80351,0.83716,0.81772,0.2488,0.63457,0.78545,0.0011554,0.0011554,0.0011554
64,5891.27,0.46422,0.79504,1.02194,0.61985,0.87844,0.76478,0.74993,0.25356,0.7221,0.78911,0.00114715,0.00114715,0.00114715
